name,address,latitude,longitude,Type,id,webUrl
Hotel de Ville Restaurant,"Grand-Rue 7, Bulle 1630 Switzerland",46.61806,7.057175,1,7371074,https://www.tripadvisor.com/Restaurant_Review-g652156-d7371074-Reviews-Hotel_de_Ville_Restaurant-Bulle_La_Gruyere_Canton_of_Fribourg.html
Buffet de la Gare,"Place de la Gare, Chateau-d'Oex 1660 Switzerland",46.474625,7.132386,1,9709085,https://www.tripadvisor.com/Restaurant_Review-g580351-d9709085-Reviews-Buffet_de_la_Gare-Chateau_d_Oex_Canton_of_Vaud.html
Restaurant de l'Aerodrome,"route de l'Aerodrome 40 Aérodrome de la Gruyère, Gruyeres 1663 Switzerland",46.59452,7.093185,1,7619567,https://www.tripadvisor.com/Restaurant_Review-g198820-d7619567-Reviews-Restaurant_de_l_Aerodrome-Gruyeres_La_Gruyere_Canton_of_Fribourg.html
Ban Palay,"chemin de Bouleyres 83, Bulle 1630 Switzerland",46.61524,7.0672,1,8380087,https://www.tripadvisor.com/Restaurant_Review-g652156-d8380087-Reviews-Ban_Palay-Bulle_La_Gruyere_Canton_of_Fribourg.html
L'asiada Thai Take Away,"place du Tilleul 5, Bulle 1630 Switzerland",46.61765,7.05742,1,21501167,https://www.tripadvisor.com/Restaurant_Review-g652156-d21501167-Reviews-L_asiada_Thai_Take_Away-Bulle_La_Gruyere_Canton_of_Fribourg.html
le43,"Grand-Rue 43, Bulle 1630 Switzerland",46.61985,7.05756,1,12289307,https://www.tripadvisor.com/Restaurant_Review-g652156-d12289307-Reviews-Le43-Bulle_La_Gruyere_Canton_of_Fribourg.html
Cafe Restaurant de l'Union,"place du Tilleul 9, Bulle 1630 Switzerland",46.61753,7.05717,1,6713349,https://www.tripadvisor.com/Restaurant_Review-g652156-d6713349-Reviews-Cafe_Restaurant_de_l_Union-Bulle_La_Gruyere_Canton_of_Fribourg.html
Monsieur Blanc,"route de Riaz 34, Bulle 1630 Switzerland",46.62363,7.05889,1,12545988,https://www.tripadvisor.com/Restaurant_Review-g652156-d12545988-Reviews-Monsieur_Blanc-Bulle_La_Gruyere_Canton_of_Fribourg.html
Burger King,"route de Riaz 100, Bulle 1630 Switzerland",46.629967,7.061218,1,23565669,https://www.tripadvisor.com/Restaurant_Review-g652156-d23565669-Reviews-Burger_King-Bulle_La_Gruyere_Canton_of_Fribourg.html
Pizzaman,"rue de l'Ancien-Comte 35, La Tour-de-Treme 1635 Switzerland",46.609226,7.065305,1,21202003,https://www.tripadvisor.com/Restaurant_Review-g4277996-d21202003-Reviews-Pizzaman-La_Tour_de_Treme_Canton_of_Fribourg.html
Le Sommet,Moleson 1663 Switzerland,46.54723,7.017976,1,8424780,https://www.tripadvisor.com/Restaurant_Review-g635661-d8424780-Reviews-Le_Sommet-Moleson_La_Gruyere_Canton_of_Fribourg.html
Restaurant La Pierre a Catillon,"place de l' Aigle 6, Moleson 1663 Switzerland",46.561367,7.037933,1,5967382,https://www.tripadvisor.com/Restaurant_Review-g635661-d5967382-Reviews-Restaurant_La_Pierre_a_Catillon-Moleson_La_Gruyere_Canton_of_Fribourg.html
Le Passage Cafe,"Grand-Rue 26, Bulle 1630 Switzerland",46.618847,7.05782,2,23440988,https://www.tripadvisor.com/Restaurant_Review-g652156-d23440988-Reviews-Le_Passage_Cafe-Bulle_La_Gruyere_Canton_of_Fribourg.html
Espace Gruyere SA,"rue de Vevey 136, Bulle 1630 Switzerland",46.61499,7.04904,2,4149249,https://www.tripadvisor.com/Restaurant_Review-g652156-d4149249-Reviews-Espace_Gruyere_SA-Bulle_La_Gruyere_Canton_of_Fribourg.html
Restaurant Gastronomique Le Sommet,"Rue de Montsalvens 4, Broc 1636 Switzerland",46.603024,7.100199,2,17990955,https://www.tripadvisor.com/Restaurant_Review-g1140517-d17990955-Reviews-Restaurant_Gastronomique_Le_Sommet-Broc_La_Gruyere_Canton_of_Fribourg.html
l'Oscar,"rue de l' Industrie 31, Bulle 1630 Switzerland",46.624985,7.037271,2,4149758,https://www.tripadvisor.com/Restaurant_Review-g652156-d4149758-Reviews-L_Oscar-Bulle_La_Gruyere_Canton_of_Fribourg.html
Restaurant BulCentre,"rue de la Sionge 37, Bulle 1630 Switzerland",46.619453,7.056638,2,8660026,https://www.tripadvisor.com/Restaurant_Review-g652156-d8660026-Reviews-Restaurant_BulCentre-Bulle_La_Gruyere_Canton_of_Fribourg.html
Le Moderne,"rue Victor-Tissot 2 Rue Victor Tissot 2, Bulle 1630 Switzerland",46.616383,7.057408,2,11918586,https://www.tripadvisor.com/Restaurant_Review-g652156-d11918586-Reviews-Le_Moderne-Bulle_La_Gruyere_Canton_of_Fribourg.html
Restaurant Le Roc by Edgard,"chemin des Palettes 14 Hotel de Rougemont, Rougemont 1659 Switzerland",46.488075,7.202293,2,7390476,https://www.tripadvisor.com/Restaurant_Review-g1130644-d7390476-Reviews-Restaurant_Le_Roc_by_Edgard-Rougemont_Canton_of_Vaud.html
La Table du Valrose,"Place De La Gare 2, 1659 Rougemont, Suisse, Rougemont 1659 Switzerland",46.488514,7.208384,2,23630803,https://www.tripadvisor.com/Restaurant_Review-g1130644-d23630803-Reviews-La_Table_du_Valrose-Rougemont_Canton_of_Vaud.html
Restaurant du Cheval Blanc,"rue de Gruyeres 16, Bulle 1630 Switzerland",46.616997,7.056994,2,4454890,https://www.tripadvisor.com/Restaurant_Review-g652156-d4454890-Reviews-Restaurant_du_Cheval_Blanc-Bulle_La_Gruyere_Canton_of_Fribourg.html
Cafe le Plaisance,"rue de Saletta 10, Bulle 1632 Switzerland",46.64068,7.06081,2,17234222,https://www.tripadvisor.com/Restaurant_Review-g652156-d17234222-Reviews-Cafe_le_Plaisance-Bulle_La_Gruyere_Canton_of_Fribourg.html
Restaurant de la Tour,"route de la Jogne 41, Chatel-sur-Montsalvens 1653 Switzerland",46.613888,7.129792,2,2367885,https://www.tripadvisor.com/Restaurant_Review-g2374948-d2367885-Reviews-Restaurant_de_la_Tour-Chatel_sur_Montsalvens_La_Gruyere_Canton_of_Fribourg.html
Restaurant de la Tour,"rue de l' Ancien Comte 57, La Tour-de-Treme 1635 Switzerland",46.608395,7.066297,2,4298730,https://www.tripadvisor.com/Restaurant_Review-g4277996-d4298730-Reviews-Restaurant_de_la_Tour-La_Tour_de_Treme_Canton_of_Fribourg.html
